issue_id	comment_created_at	comment_by
29353781	39411063	2014-04-03 04:11:34	39411063
29353781	39439886	2014-04-03 11:23:12	39439886
29348289	37578081	2014-03-13 19:45:53	37578081
29348289	37603730	2014-03-14 00:28:51	37603730
29348289	38385288	2014-03-23 15:17:16	38385288
29348289	38387100	2014-03-23 16:16:24	38387100
29348289	38395031	2014-03-23 19:56:27	38395031
29348289	38404746	2014-03-24 01:21:13	38404746
29348289	39837967	2014-04-08 11:39:32	39837967
29348289	39867240	2014-04-08 16:05:54	39867240
29348289	40071278	2014-04-10 12:21:03	40071278
29348289	40123280	2014-04-10 18:47:58	40123280
29220932	37355328	2014-03-11 22:40:31	37355328
29220932	37487290	2014-03-13 00:36:25	37487290
29220932	37500221	2014-03-13 04:53:09	37500221
29158687	37305092	2014-03-11 15:00:03	37305092
29158687	37504488	2014-03-13 06:44:41	37504488
29158687	37571737	2014-03-13 18:47:20	37571737
29021482	37111406	2014-03-08 22:05:45	37111406
29021482	37127087	2014-03-09 13:35:22	37127087
29021482	37135635	2014-03-09 19:13:30	37135635
29021482	37435647	2014-03-12 17:10:50	37435647
29012581	37086862	2014-03-08 02:42:34	37086862
29012581	37087093	2014-03-08 02:53:58	37087093
29012581	37087459	2014-03-08 03:10:14	37087459
